Format,2.0A,
Memory Length,5000,
Trigger Level,0.00V,
Source,CH1,
Label, ,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,5.000E-01,
Vertical Position,-5.000E-01,
Horizontal Units,S,
Horizontal Scale,1.000E+00,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Sampling Period,2.000E-03,
Firmware,V1.18,
Time,29-Jun-15 15:03:31,
Mode,Detail,
Waveform Data,
-4.652000e+00,1.16e+00,
-4.650000e+00,1.08e+00,
-4.648000e+00,1.12e+00,
-4.646000e+00,1.04e+00,
-4.644000e+00,1.08e+00,
-4.642000e+00,1.04e+00,
-4.640000e+00,1.08e+00,
-4.638000e+00,1.04e+00,
-4.636000e+00,1.08e+00,
-4.634000e+00,1.02e+00,
-4.632000e+00,1.06e+00,
-4.630000e+00,1.00e+00,
-4.628000e+00,1.02e+00,
-4.626000e+00,9.40e-01,
-4.624000e+00,9.80e-01,
-4.622000e+00,9.20e-01,
-4.620000e+00,9.60e-01,
-4.618000e+00,9.20e-01,
-4.616000e+00,9.60e-01,
-4.614000e+00,9.00e-01,
-4.612000e+00,9.40e-01,
-4.610000e+00,8.60e-01,
-4.608000e+00,8.80e-01,
-4.606000e+00,8.20e-01,
-4.604000e+00,8.60e-01,
-4.602000e+00,8.20e-01,
-4.600000e+00,8.20e-01,
-4.598000e+00,8.80e-01,
-4.596000e+00,8.80e-01,
-4.594000e+00,8.40e-01,
-4.592000e+00,8.80e-01,
-4.590000e+00,8.20e-01,
-4.588000e+00,8.40e-01,
-4.586000e+00,8.00e-01,
-4.584000e+00,8.60e-01,
-4.582000e+00,8.20e-01,
-4.580000e+00,8.20e-01,
-4.578000e+00,8.80e-01,
-4.576000e+00,9.00e-01,
-4.574000e+00,8.40e-01,
-4.572000e+00,8.80e-01,
-4.570000e+00,8.40e-01,
-4.568000e+00,8.20e-01,
-4.566000e+00,8.80e-01,
-4.564000e+00,8.20e-01,
-4.562000e+00,8.80e-01,
-4.560000e+00,8.60e-01,
-4.558000e+00,9.20e-01,
-4.556000e+00,8.80e-01,
-4.554000e+00,9.40e-01,
-4.552000e+00,9.40e-01,
-4.550000e+00,9.00e-01,
-4.548000e+00,9.40e-01,
-4.546000e+00,9.00e-01,
-4.544000e+00,9.40e-01,
-4.542000e+00,9.00e-01,
-4.540000e+00,9.60e-01,
-4.538000e+00,9.20e-01,
-4.536000e+00,9.80e-01,
-4.534000e+00,9.40e-01,
-4.532000e+00,9.80e-01,
-4.530000e+00,9.20e-01,
-4.528000e+00,9.60e-01,
-4.526000e+00,9.00e-01,
-4.524000e+00,9.00e-01,
-4.522000e+00,9.60e-01,
-4.520000e+00,9.20e-01,
-4.518000e+00,9.80e-01,
-4.516000e+00,9.80e-01,
-4.514000e+00,9.40e-01,
-4.512000e+00,9.80e-01,
-4.510000e+00,9.40e-01,
-4.508000e+00,9.60e-01,
-4.506000e+00,9.20e-01,
-4.504000e+00,9.60e-01,
-4.502000e+00,9.20e-01,
-4.500000e+00,9.80e-01,
-4.498000e+00,9.40e-01,
-4.496000e+00,1.00e+00,
-4.494000e+00,9.60e-01,
-4.492000e+00,1.00e+00,
-4.490000e+00,9.40e-01,
-4.488000e+00,9.60e-01,
-4.486000e+00,9.20e-01,
-4.484000e+00,9.00e-01,
-4.482000e+00,9.60e-01,
-4.480000e+00,9.20e-01,
-4.478000e+00,9.80e-01,
-4.476000e+00,9.40e-01,
-4.474000e+00,1.00e+00,
-4.472000e+00,9.80e-01,
-4.470000e+00,9.20e-01,
-4.468000e+00,9.60e-01,
-4.466000e+00,9.00e-01,
-4.464000e+00,9.40e-01,
-4.462000e+00,9.00e-01,
-4.460000e+00,9.60e-01,
-4.458000e+00,9.20e-01,
-4.456000e+00,9.60e-01,
-4.454000e+00,9.20e-01,
-4.452000e+00,9.60e-01,
-4.450000e+00,9.20e-01,
-4.448000e+00,9.00e-01,
-4.446000e+00,9.60e-01,
-4.444000e+00,9.00e-01,
-4.442000e+00,9.60e-01,
-4.440000e+00,9.20e-01,
-4.438000e+00,9.80e-01,
-4.436000e+00,1.00e+00,
-4.434000e+00,9.60e-01,
-4.432000e+00,1.00e+00,
-4.430000e+00,9.40e-01,
-4.428000e+00,9.80e-01,
-4.426000e+00,9.20e-01,
-4.424000e+00,9.40e-01,
-4.422000e+00,1.00e+00,
-4.420000e+00,9.60e-01,
-4.418000e+00,1.02e+00,
-4.416000e+00,1.02e+00,
-4.414000e+00,9.80e-01,
-4.412000e+00,1.02e+00,
-4.410000e+00,9.60e-01,
-4.408000e+00,1.00e+00,
-4.406000e+00,9.40e-01,
-4.404000e+00,1.00e+00,
-4.402000e+00,9.60e-01,
-4.400000e+00,1.00e+00,
-4.398000e+00,9.60e-01,
-4.396000e+00,1.02e+00,
-4.394000e+00,9.80e-01,
-4.392000e+00,1.00e+00,
-4.390000e+00,9.40e-01,
-4.388000e+00,9.80e-01,
-4.386000e+00,9.20e-01,
-4.384000e+00,9.60e-01,
-4.382000e+00,9.20e-01,
-4.380000e+00,9.20e-01,
-4.378000e+00,9.80e-01,
-4.376000e+00,1.00e+00,
-4.374000e+00,9.40e-01,
-4.372000e+00,9.80e-01,
-4.370000e+00,9.20e-01,
-4.368000e+00,9.60e-01,
-4.366000e+00,9.20e-01,
-4.364000e+00,9.00e-01,
-4.362000e+00,9.60e-01,
-4.360000e+00,9.60e-01,
-4.358000e+00,9.20e-01,
-4.356000e+00,9.80e-01,
-4.354000e+00,9.40e-01,
-4.352000e+00,9.80e-01,
-4.350000e+00,9.20e-01,
-4.348000e+00,9.40e-01,
-4.346000e+00,9.00e-01,
-4.344000e+00,9.40e-01,
-4.342000e+00,9.00e-01,
-4.340000e+00,9.00e-01,
-4.338000e+00,9.60e-01,
-4.336000e+00,9.60e-01,
-4.334000e+00,9.20e-01,
-4.332000e+00,9.60e-01,
-4.330000e+00,9.20e-01,
-4.328000e+00,9.40e-01,
-4.326000e+00,9.00e-01,
-4.324000e+00,9.00e-01,
-4.322000e+00,9.60e-01,
-4.320000e+00,9.20e-01,
-4.318000e+00,1.00e+00,
-4.316000e+00,9.60e-01,
-4.314000e+00,1.02e+00,
-4.312000e+00,1.00e+00,
-4.310000e+00,9.60e-01,
-4.308000e+00,1.00e+00,
-4.306000e+00,9.40e-01,
-4.304000e+00,9.40e-01,
-4.302000e+00,1.02e+00,
-4.300000e+00,1.02e+00,
-4.298000e+00,9.80e-01,
-4.296000e+00,1.04e+00,
-4.294000e+00,1.00e+00,
-4.292000e+00,1.04e+00,
-4.290000e+00,1.00e+00,
-4.288000e+00,1.02e+00,
-4.286000e+00,9.80e-01,
-4.284000e+00,9.80e-01,
-4.282000e+00,1.04e+00,
-4.280000e+00,1.04e+00,
-4.278000e+00,1.00e+00,
-4.276000e+00,1.00e+00,
-4.274000e+00,1.06e+00,
-4.272000e+00,1.04e+00,
-4.270000e+00,1.00e+00,
-4.268000e+00,1.04e+00,
-4.266000e+00,9.80e-01,
-4.264000e+00,1.04e+00,
-4.262000e+00,1.00e+00,
-4.260000e+00,1.04e+00,
-4.258000e+00,1.00e+00,
-4.256000e+00,1.04e+00,
-4.254000e+00,1.00e+00,
-4.252000e+00,1.04e+00,
-4.250000e+00,1.00e+00,
-4.248000e+00,1.02e+00,
-4.246000e+00,9.60e-01,
-4.244000e+00,9.80e-01,
-4.242000e+00,9.40e-01,
-4.240000e+00,1.00e+00,
-4.238000e+00,9.60e-01,
-4.236000e+00,1.00e+00,
-4.234000e+00,9.40e-01,
-4.232000e+00,9.80e-01,
-4.230000e+00,9.00e-01,
-4.228000e+00,9.40e-01,
-4.226000e+00,8.80e-01,
-4.224000e+00,9.40e-01,
-4.222000e+00,9.00e-01,
-4.220000e+00,9.40e-01,
-4.218000e+00,9.00e-01,
-4.216000e+00,9.40e-01,
-4.214000e+00,9.00e-01,
-4.212000e+00,9.40e-01,
-4.210000e+00,9.00e-01,
-4.208000e+00,9.20e-01,
-4.206000e+00,8.80e-01,
-4.204000e+00,9.20e-01,
-4.202000e+00,8.80e-01,
-4.200000e+00,8.80e-01,
-4.198000e+00,9.40e-01,
-4.196000e+00,9.40e-01,
-4.194000e+00,9.00e-01,
-4.192000e+00,9.40e-01,
-4.190000e+00,9.00e-01,
-4.188000e+00,9.20e-01,
-4.186000e+00,8.60e-01,
-4.184000e+00,9.20e-01,
-4.182000e+00,8.60e-01,
-4.180000e+00,9.20e-01,
-4.178000e+00,8.80e-01,
-4.176000e+00,9.40e-01,
-4.174000e+00,9.00e-01,
-4.172000e+00,9.20e-01,
-4.170000e+00,8.80e-01,
-4.168000e+00,9.00e-01,
-4.166000e+00,8.40e-01,
-4.164000e+00,8.40e-01,
-4.162000e+00,9.00e-01,
-4.160000e+00,9.20e-01,
-4.158000e+00,8.80e-01,
-4.156000e+00,9.40e-01,
-4.154000e+00,9.00e-01,
-4.152000e+00,9.20e-01,
-4.150000e+00,9.80e-01,
-4.148000e+00,9.60e-01,
-4.146000e+00,1.04e+00,
-4.144000e+00,1.00e+00,
-4.142000e+00,1.14e+00,
-4.140000e+00,1.12e+00,
-4.138000e+00,1.40e+00,
-4.136000e+00,1.38e+00,
-4.134000e+00,1.70e+00,
-4.132000e+00,1.68e+00,
-4.130000e+00,1.86e+00,
-4.128000e+00,1.86e+00,
-4.126000e+00,1.80e+00,
-4.124000e+00,1.82e+00,
-4.122000e+00,1.66e+00,
-4.120000e+00,1.68e+00,
-4.118000e+00,1.40e+00,
-4.116000e+00,1.40e+00,
-4.114000e+00,1.14e+00,
-4.112000e+00,1.16e+00,
-4.110000e+00,9.80e-01,
-4.108000e+00,1.00e+00,
-4.106000e+00,8.60e-01,
-4.104000e+00,9.00e-01,
