Format,2.0A,
Memory Length,5000,Memory Length,1000,
Trigger Level,2.96mV,Trigger Level,0.000E+00,
Source,CH1,Source,FFT,
Label, ,Label, ,
Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,
Vertical Units,V,Vertical Units,dB,
Vertical Scale,1.000E-01,Vertical Scale,2.000E+01,
Vertical Position,8.800E-02,Vertical Position,0.000000E+00Div,
Horizontal Units,S,Horizontal Units,Hz,
Horizontal Scale,1.000E+00,Horizontal Scale,125Hz,
Horizontal Position,0.000E+00,Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,Horizontal Mode,Roll Mode,
Sampling Period,2.000E-03,Sampling Period,1.250E+00,
Firmware,V1.18,Firmware,V1.18,
Time,04-Jun-15 22:05:00,Time,04-Jun-15 22:05:00,
Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,
-4.810000e+00,0.060000,1.187500e+02,-78.400002,
-4.808000e+00,0.068000,1.200000e+02,-73.599998,
-4.806000e+00,0.060000,1.212500e+02,-82.400002,
-4.804000e+00,0.068000,1.225000e+02,-80.000000,
-4.802000e+00,0.060000,1.237500e+02,-77.599998,
-4.800000e+00,0.068000,1.250000e+02,-77.599998,
-4.798000e+00,0.056000,1.262500e+02,-77.599998,
-4.796000e+00,0.068000,1.275000e+02,-87.199997,
-4.794000e+00,0.056000,1.287500e+02,-76.800003,
-4.792000e+00,0.064000,1.300000e+02,-89.599998,
-4.790000e+00,0.056000,1.312500e+02,-80.000000,
-4.788000e+00,0.060000,1.325000e+02,-77.599998,
-4.786000e+00,0.052000,1.337500e+02,-80.000000,
-4.784000e+00,0.060000,1.350000e+02,-87.199997,
-4.782000e+00,0.052000,1.362500e+02,-76.000000,
-4.780000e+00,0.060000,1.375000e+02,-83.199997,
-4.778000e+00,0.052000,1.387500e+02,-77.599998,
-4.776000e+00,0.060000,1.400000e+02,-80.800003,
-4.774000e+00,0.048000,1.412500e+02,-83.199997,
-4.772000e+00,0.056000,1.425000e+02,-73.599998,
-4.770000e+00,0.048000,1.437500e+02,-81.599998,
-4.768000e+00,0.056000,1.450000e+02,-74.400002,
-4.766000e+00,0.048000,1.462500e+02,-82.400002,
-4.764000e+00,0.056000,1.475000e+02,-75.199997,
-4.762000e+00,0.044000,1.487500e+02,-75.199997,
-4.760000e+00,0.052000,1.500000e+02,-88.000000,
-4.758000e+00,0.044000,1.512500e+02,-87.199997,
-4.756000e+00,0.052000,1.525000e+02,-87.199997,
-4.754000e+00,0.044000,1.537500e+02,-74.400002,
-4.752000e+00,0.052000,1.550000e+02,-83.199997,
-4.750000e+00,0.040000,1.562500e+02,-79.199997,
-4.748000e+00,0.048000,1.575000e+02,-77.599998,
-4.746000e+00,0.036000,1.587500e+02,-74.400002,
-4.744000e+00,0.048000,1.600000e+02,-78.400002,
-4.742000e+00,0.036000,1.612500e+02,-80.000000,
-4.740000e+00,0.044000,1.625000e+02,-81.599998,
-4.738000e+00,0.036000,1.637500e+02,-84.000000,
